"fdc_id","food_code","wweia_category_code","start_date","end_date"
"781423","11720419","9404","2015-01-01","2016-12-31"
"781424","11720430","9402","2015-01-01","2016-12-31"
"781425","11720431","9402","2015-01-01","2016-12-31"
"781426","11720610","9402","2015-01-01","2016-12-31"
"781427","11720611","9402","2015-01-01","2016-12-31"
"781428","11720612","9406","2015-01-01","2016-12-31"
"781429","11720613","9404","2015-01-01","2016-12-31"
"781430","11720614","9406","2015-01-01","2016-12-31"
"781431","11720615","9406","2015-01-01","2016-12-31"
"781432","11720616","9406","2015-01-01","2016-12-31"
"781433","11720617","9404","2015-01-01","2016-12-31"
"781434","11720618","9404","2015-01-01","2016-12-31"
"781435","11720619","9404","2015-01-01","2016-12-31"
"781436","11720620","9402","2015-01-01","2016-12-31"
"781437","11720800","9402","2015-01-01","2016-12-31"
"781438","11720801","9402","2015-01-01","2016-12-31"
"781439","11720802","9406","2015-01-01","2016-12-31"
"781440","11720803","9404","2015-01-01","2016-12-31"
"781441","11720807","9404","2015-01-01","2016-12-31"
"781442","11720808","9404","2015-01-01","2016-12-31"
"781443","11720809","9404","2015-01-01","2016-12-31"
"781444","11740310","9402","2015-01-01","2016-12-31"
"781445","11740311","9402","2015-01-01","2016-12-31"
"781446","11740312","9406","2015-01-01","2016-12-31"
"781447","11740313","9404","2015-01-01","2016-12-31"
"781448","11740320","9402","2015-01-01","2016-12-31"
"781449","11740323","9404","2015-01-01","2016-12-31"
"781450","11740400","9402","2015-01-01","2016-12-31"
"781451","11740401","9402","2015-01-01","2016-12-31"
"781452","11740403","9404","2015-01-01","2016-12-31"
"781453","11740511","9402","2015-01-01","2016-12-31"
"781454","11740521","9402","2015-01-01","2016-12-31"
"781455","11810000","9999","2015-01-01","2016-12-31"
"781456","11811000","9999","2015-01-01","2016-12-31"
"781457","11812000","9999","2015-01-01","2016-12-31"
"781458","11813000","9999","2015-01-01","2016-12-31"
"781459","11825000","9999","2015-01-01","2016-12-31"
"781460","11830100","9999","2015-01-01","2016-12-31"
"781461","11830115","9999","2015-01-01","2016-12-31"
"781462","11830150","9999","2015-01-01","2016-12-31"
"781463","11830160","9999","2015-01-01","2016-12-31"
"781464","11830165","9999","2015-01-01","2016-12-31"
"781465","11830260","9999","2015-01-01","2016-12-31"
"781466","11830400","9999","2015-01-01","2016-12-31"
"781467","12100100","8008","2015-01-01","2016-12-31"
"781468","12110100","8008","2015-01-01","2016-12-31"
"781469","12120100","8008","2015-01-01","2016-12-31"
"781470","12120106","8008","2015-01-01","2016-12-31"
"781471","12120110","8008","2015-01-01","2016-12-31"
"781472","12130100","8008","2015-01-01","2016-12-31"
"781473","12140000","8006","2015-01-01","2016-12-31"
"781474","12200100","8008","2015-01-01","2016-12-31"
"781475","12210200","8008","2015-01-01","2016-12-31"
"781476","12210210","8008","2015-01-01","2016-12-31"
"781477","12210260","8008","2015-01-01","2016-12-31"
"781478","12210270","8008","2015-01-01","2016-12-31"
"781479","12210280","8008","2015-01-01","2016-12-31"
"781480","12210310","8008","2015-01-01","2016-12-31"
"781481","12210400","8008","2015-01-01","2016-12-31"
"781482","12210420","8008","2015-01-01","2016-12-31"
"781483","12210430","8008","2015-01-01","2016-12-31"
"781484","12210440","8008","2015-01-01","2016-12-31"
"781485","12210505","8008","2015-01-01","2016-12-31"
"781486","12210520","8008","2015-01-01","2016-12-31"
"781487","12220200","8006","2015-01-01","2016-12-31"
"781488","12220270","8006","2015-01-01","2016-12-31"
"781489","12220280","8006","2015-01-01","2016-12-31"
"781490","12310100","8006","2015-01-01","2016-12-31"
"781491","12310200","8006","2015-01-01","2016-12-31"
"781492","12310300","8006","2015-01-01","2016-12-31"
